label,text
ham,"Isn't frnd a necesity in life? imagine urself witout a frnd.. hw'd u feel at ur colleg? wat'll u do wth ur cell? wat abt functions? thnk abt events espe'll cared, missed &amp; irritated u? 4wrd it to all those dear-loving frnds wthout whom u cant live.. I jst did it.. Takecare..:) GOODMORNING"
ham,No da..today also i forgot..
ham,"Enjoy the showers of possessiveness poured on u by ur loved ones, bcoz in this world of lies, it is a golden gift to be loved truly.."
ham,Lul im gettin some juicy gossip at the hospital. Two nurses are talking about how fat they are gettin. And one thinks shes obese. Oyea.
ham,When can ï¿½_ come out?
ham,Dear where you will be when i reach there
ham,You will go to walmart. I.ll stay.
ham,"For you information, IKEA is spelled with all caps. That is not yelling. when you thought i had left you, you were sitting on the bed among the mess when i came in. i said we were going after you got home from class. please don't try and bullshit me. It makes me want to listen to you less."
ham,"Just checked out, heading out to drop off my stuff now"
ham,Do you hide anythiing or keeping distance from me
ham,"Waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,Zindgi wo nahi he jo hum sochte hai Zindgi wo hai jo ham jeetey hai.........."
ham,I dont know why she.s not getting your messages
spam,U have won a nokia 6230 plus a free digital camera. This is what u get when u win our FREE auction. To take part send NOKIA to 83383 now. POBOX114/14TCR/W1 16
ham,I'll text now! All creepy like so he won't think that we forgot
ham,"Hey sexy buns ! Have I told you ? I adore you, loverboy. I hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe"
ham,Good afternoon my boytoy. How goes that walking here and there day ? Did you get that police abstract? Are you still out and about? I wake and miss you babe
ham,Howz that persons story
ham,Did u download the fring app?
ham,"OH RITE. WELL IM WITH MY BEST MATE PETE, WHO I WENT OUT WITH 4 A WEEK+ NOW WERE 2GEVA AGAIN. ITS BEEN LONGER THAN A WEEK."
ham,Ok but tell me half an hr b4 u come i need 2 prepare.
ham,No. Thank you. You've been wonderful
spam,You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt
ham,You have to pls make a note of all she.s exposed to. Also find out from her school if anyone else was vomiting. Is there a dog or cat in the house? Let me know later.
ham,Only saturday and sunday holiday so its very difficult:)
ham,Sorry dude. Dont know how i forgot. Even after Dan reminded me. Sorry. Hope you guys had fun.
ham,Kinda. First one gets in at twelve! Aah. Speak tomo
spam,Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop www.gamb.tv
ham,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, Being 'SIMPLE' is very difficult...;-) :-)"
ham,What does the dance river do?
ham,Dude im no longer a pisces. Im an aquarius now.
ham,Please tell me not all of my car keys are in your purse
ham,Shall call now dear having food
spam,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk"
ham,Wah... Okie okie... Muz make use of e unlimited... Haha... 
ham,"Did you say bold, then torch later. Or one torch and 2bold?"
ham,I'm doing da intro covers energy trends n pros n cons... Brief description of nuclear fusion n oso brief history of iter n jet got abt 7 n half pages..
ham,"Hiya, had a good day? Have you spoken to since the weekend?"
ham,Only once then after ill obey all yours.
ham,Are you happy baby ? Are you alright ? Did you take that job ? I hope your fine. I send you a kiss to make you smile from across the sea ... *kiss* *kiss*
ham,Mm yes dear look how i am hugging you both. :-P
spam,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm"
ham,S.i'm watching it in live..
ham,"She is our sister.. She belongs 2 our family.. She is d hope of tomorrow.. Pray 4 her,who was fated 4 d Shoranur train incident. Lets hold our hands together &amp; fuelled by love &amp; concern prior 2 her grief &amp; pain. Pls join in dis chain &amp; pass it. STOP VIOLENCE AGAINST WOMEN."
ham,Still chance there. If you search hard you will get it..let have a try :)
spam,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327"
spam,Adult 18 Content Your video will be with you shortly
ham,\CAN I PLEASE COME UP NOW IMIN TOWN.DONTMATTER IF URGOIN OUTL8R
ham,Lemme know when you're here
ham,Hey. You got any mail?
ham,It means u could not keep ur words.
ham,Jay says that you're a double-faggot
ham,* Am on my way
ham,"(No promises on when though, haven't even gotten dinner yet)"
ham,Well i know Z will take care of me. So no worries.
ham,Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning.
ham,"Good afternoon on this glorious anniversary day, my sweet J !! I hope this finds you happy and content, my Prey. I think of you and send a teasing kiss from across the sea coaxing images of fond souveniers ... You Cougar-Pen"
ham,Awww dat is sweet! We can think of something to do he he! Have a nice time tonight ill probably txt u later cos im lonely :( xxx.
ham,Pandy joined 4w technologies today.he got job..
ham,Like a personal sized or what
ham,Gr8. So how do you handle the victoria island traffic. Plus when's the album due
ham,No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:)
ham,Hi babe its me thanks for coming even though it didnt go that well!i just wanted my bed! Hope to see you soon love and kisses xxx
spam,Todays Voda numbers ending with 7634 are selected to receive a ï¿½350 reward. If you have a match please call 08712300220 quoting claim code 7684 standard rates apply.
ham,Hello- thanx for taking that call. I got a job! Starts on monday!
ham,I'll let you know when it kicks in
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0
ham,What is your record for one night? :)
ham,Well boy am I glad G wasted all night at applebees for nothing
ham,"\ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.\"""""
spam,08714712388 between 10am-7pm Cost 10p
ham,"Dont worry, 1 day very big lambu ji vl come..til then enjoy batchlor party:-)"
ham,It's justbeen overa week since we broke up and already our brains are going to mush!
spam,"U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at ï¿½350! Dial 08712300220 to claim - National Rate Call. Bx526, SW73SS"
spam,Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz
ham,ï¿½ï¿½ only send me the contents page...
spam,Promotion Number: 8714714 - UR awarded a City Break and could WIN a ï¿½200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 ï¿½1.50perWKsub
ham,ok....take care.umma to you too...
ham,You got called a tool?
spam,PRIVATE! Your 2004 Account Statement for 078498****7 shows 786 unredeemed Bonus Points. To claim call 08719180219 Identifier Code: 45239 Expires 06.05.05
ham,K ill drink.pa then what doing. I need srs model pls send it to my mail id pa.
ham,"Cool, we shall go and see, have to go to tip anyway. Are you at home, got something to drop in later? So lets go to town tonight! Maybe mum can take us in."
ham,Its good to hear from you
ham,"Text me when you get off, don't call, my phones having problems"
spam,"Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058097189 NOW all will be revealed. POBox 6, LS15HB 150p "
ham,"Wat time liao, where still got."
ham,God bless.get good sleep my dear...i will pray!
ham,Have you been practising your curtsey?
ham,Who u talking about?
ham,Dear where you. Call me
ham,Okie... Thanx...
ham,Kaiez... Enjoy ur tuition... Gee... Thk e second option sounds beta... I'll go yan jiu den msg u...
ham,Hi Harish's rent has been transfred to ur Acnt.
ham,HI DARLIN IVE JUST GOT BACK AND I HAD A REALLY NICE NIGHT AND THANKS SO MUCH FOR THE LIFT SEE U TOMORROW XXX
ham,"Ok that would b lovely, if u r sure. Think about wot u want to do, drinkin, dancin, eatin, cinema, in, out, about... Up to u! Wot about ? "
ham,Sorry for the delay. Yes masters
ham,Thanx a lot 4 ur help!
ham,True dear..i sat to pray evening and felt so.so i sms'd you in some time...
ham,My love ... I hope your not doing anything drastic. Don't you dare sell your pc or your phone ...
ham,His bday real is in april .
ham,He's in lag. That's just the sad part but we keep in touch thanks to skype
ham,Thank u!
ham,Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss
ham,Sday only joined.so training we started today:)
ham,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office.."
ham,Just do what ever is easier for you
ham,Ok then no need to tell me anything i am going to sleep good night
spam,Reply to win ï¿½100 weekly! What professional sport does Tiger Woods play? Send STOP to 87239 to end service
ham,No * am working on the ringing u thing but have whole houseful of screaming brats so * am pulling my hair out! Loving u
ham,"K so am I, how much for an 8th? Fifty?"
ham,Dont pick up d call when something important is There to tell. Hrishi
ham,How many licks does it take to get to the center of a tootsie pop?
spam,goldviking (29/M) is inviting you to be his friend. Reply YES-762 or NO-762 See him: www.SMS.ac/u/goldviking STOP? Send STOP FRND to 62468
ham,"Yes, princess. Toledo."
ham,Apo all other are mokka players only
ham,I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA
ham,"Yes..but they said its IT.,"
ham,I dled 3d its very imp
ham,I.ll hand her my phone to chat wit u
ham,So now my dad is gonna call after he gets out of work and ask all these crazy questions.
ham,I will come tomorrow di
ham,either way works for me. I am  &lt;#&gt;  years old. Hope that doesnt bother you.
ham,"That's cool he'll be here all night, lemme know when you're around"
ham,Yup...
spam,85233 FREE>Ringtone!Reply REAL
ham,We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that
ham,HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906 
ham,Who were those people ? Were you in a tour ? I thought you were doing that sofa thing you sent me ? Your curious sugar
ham,"Im in inperialmusic listening2the weirdest track ever byï¿½ï¿½leafcutter johnï¿½ï¿½-sounds like insects being molested&someone plumbing,remixed by evil men on acid!"
ham,Hey ! Don't forget ... You are MINE ... For ME ... My possession ... MY property ... MMM ... *childish smile* ...
ham,The wine is flowing and i'm i have nevering..
ham,"Geeee ... I miss you already, you know ? Your all I can think about. Fuck, I can't wait till next year when we will be together ... *loving kiss*"
ham,Ha ha - had popped down to the loo when you hello-ed me. Hello!
ham,Jus finish bathing...
ham,"Ok, be careful ! Don't text and drive !"
ham,She doesnt need any test.
ham,I could ask carlos if we could get more if anybody else can chip in
ham,Tired. I haven't slept well the past few nights.
ham,Stupid.its not possible
ham,Its like that hotel dusk game i think. You solve puzzles in a area thing
ham,Surly ill give it to you:-) while coming to review.
spam,Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186 
ham,Indeed and by the way it was either or - not both !
ham,Mm umma ask vava also to come tell him can play later together
ham,Hi good mornin.. Thanku wish u d same..
spam,Guess who am I?This is the first time I created a web page WWW.ASJESUS.COM read all I wrote. I'm waiting for your opinions. I want to be your friend 1/1
ham,Networking technical support associate.
ham,Maybe?! Say hi to  and find out if  got his card. Great escape or wetherspoons? 
ham,I've sent my wife your text. After we buy them she'll tell you what to do. So just relax. We should go get them this wkend.
ham,Am also doing in cbe only. But have to pay.
ham,Jesus armand really is trying to tell everybody he can find
ham,Tension ah?what machi?any problem?
spam,"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow"
ham,Sorry de i went to shop.
ham,Nope... Think i will go for it on monday... Sorry i replied so late
ham,Then any special there?
ham,MY NEW YEARS EVE WAS OK. I WENT TO A PARTY WITH MY BOYFRIEND. WHO IS THIS SI THEN HEY
spam,FreeMsg: Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop
ham,Sac needs to carry on:)
ham,I'm not driving... Raining! Then i'll get caught at e mrt station lor.
ham,"My painful personal thought- \I always try to keep everybody happy all the time. But nobody recognises me when i am alone\"""""
ham,I will treasure every moment we spend together...
spam,"LookAtMe!: Thanks for your purchase of a video clip from LookAtMe!, you've been charged 35p. Think you can do better? Why not send a video in a MMSto 32323."
ham,Or i go home first lar ï¿½_ wait 4 me lor.. I put down my stuff first..
ham,Quite late lar... Ard 12 anyway i wun b drivin...
ham,Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:
ham,"If you can make it any time tonight or whenever you can it's cool, just text me whenever you're around"
ham,Leave it de:-). Start Prepare for next:-)..
ham,"Come round, it's . "
spam,500 free text msgs. Just text ok to 80488 and we'll credit your account
ham,Hmmm:)how many players selected?
ham,\CHA QUITEAMUZING THATï¿½ï¿½SCOOL BABE
ham,Great comedy..cant stop laughing da:)
ham,Ok. There may be a free gym about.
ham,Not..tel software name..
ham,"Alright, we're all set here, text the man"
ham,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.
ham,Mm i am on the way to railway
ham,Sorry da thangam.it's my mistake.
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? 
ham,Oops i thk i dun haf enuff... I go check then tell ï¿½_..
ham,"Me, i dont know again oh"
ham,You only hate me. You can call any but you didnt accept even a single call of mine. Or even you messaged
ham,Oh ok i didnt know what you meant. Yep i am baby jontin
ham,I love u 2 babe! R u sure everything is alrite. Is he being an idiot? Txt bak girlie
spam,BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary
ham,"Aight, I should be there by 8 at the latest, probably closer to 7. Are jay and tyler down or should we just do two trips?"
ham,U call me alter at 11 ok.
ham,"Get the door, I'm here"
ham,Anything lor but toa payoh got place 2 walk meh...
ham,I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?
spam,"URGENT! Your Mobile No. was awarded ï¿½2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM"
ham,I don't think he has spatula hands!
ham,"How about clothes, jewelry, and trips?"
ham,Good day to You too.Pray for me.Remove the teeth as its painful maintaining other stuff.
spam,"Oh my god! I've found your number again! I'm so glad, text me back xafter this msgs cst std ntwk chg ï¿½1.50"
ham,Oh ya ya. I remember da. .
spam,We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT free camcorder Reply or call now 08000930705 Del Thurs
ham,Yes. that will be fine. Love you. Be safe.
ham,None of that's happening til you get here though
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468
ham,Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...
ham,"Beautiful tomorrow never comes.. When it comes, it's already TODAY.. In the hunt of beautiful tomorrow don't waste your wonderful TODAY.. GOODMORNING:)"
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? 
ham,Havent shopping now lor i juz arrive only
ham,2marrow only. Wed at  &lt;#&gt;  to 2 aha.
ham,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.
ham,Ok. But i finish at 6.
ham,I will vote for wherever my heart guides me
ham,That's the way you should stay oh.
ham,Hi im having the most relaxing time ever! we have to get up at 7am every day! was the party good the other night? I get home tomorrow at 5ish.
ham,"&lt;#&gt;  is fast approaching. So, Wish u a very Happy New Year Happy Sankranti Happy republic day Happy Valentines Day Happy Shivratri Happy Ugadi Happy Fools day Happy May Day Happy Independence Day, Happy Friendship,Mother,Father,Teachers,Childrens Day, &amp; HAPPY BIRTHDAY 4 U. Happy Ganesh festival Happy Dasara Happy Diwali Happy Christmas  &lt;#&gt;  Good Mornings Afternoons, Evenings Nights. RememberI AM the first to WISHING U ALL THESE...your's Raj"
ham,"I don't have anybody's number, I still haven't thought up a tactful way to ask alex"
ham,Don know..he is watching film in computer..
ham,A pure hearted person can have a wonderful smile that makes even his/her enemies to feel guilty for being an enemy.. So catch the world with your smile..:) GOODMORNING &amp; HAVE A SMILEY SUNDAY..:)
ham,"K I'll head out in a few mins, see you there"
ham,Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.
ham,You busy or can I come by at some point and figure out what we're doing tomorrow
ham,"Anyway I don't think I can secure anything up here, lemme know if you want me to drive down south and chill"
spam,Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+
spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES"
spam,You have 1 new message. Please call 08718738034.
ham,All these nice new shirts and the only thing I can wear them to is nudist themed ;_; you in mu?
ham,"Nothing really, just making sure everybody's up to speed"
ham,Great! I have to run now so ttyl!
spam,"URGENT! You have won a 1 week FREE membership in our ï¿½100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
ham,Yunny... I'm goin to be late
ham,Ok i go change also...
ham,I love to give massages. I use lots of baby oil... What is your fave position?
ham,"Yeah go on then, bored and depressed sittin waitin for phone to ring... Hope the wind drops though, scary"
ham,"Well done, blimey, exercise, yeah, i kinda remember wot that is, hmm. "
ham,Yes princess! I want to please you every night. Your wish is my command...
ham,Are u coming to the funeral home
ham,Please sen :)my kind advice :-)please come here and try:-)
ham,Huh but i got lesson at 4 lei n i was thinkin of going to sch earlier n i tot of parkin at kent vale...  
ham,Yes. They replied my mail. I'm going to the management office later. Plus will in to bank later also.or on wednesday.
ham,I did. One slice and one breadstick. Lol
ham,Same as kallis dismissial in 2nd test:-).
ham,Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam
ham,Still at west coast... Haiz... ï¿½ï¿½'ll take forever to come back...
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room"
ham,That's a shame! Maybe cld meet for few hrs tomo?
ham,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff."
ham,I'm coming back on Thursday. Yay. Is it gonna be ok to get the money. Cheers. Oh yeah and how are you. Everything alright. Hows school. Or do you call it work now
ham,I am in bus on the way to calicut
ham,"No! But we found a diff farm shop to buy some cheese. On way back now, can i call in?"
ham,Allo! We have braved the buses and taken on the trains and triumphed. I mean weï¿½ï¿½ï¿½re in bï¿½ï¿½ï¿½ham. Have a jolly good rest of week
ham,"The guy (kadeem) hasn't been selling since the break, I know one other guy but he's paranoid as fuck and doesn't like selling without me there and I can't be up there til late tonight"
ham,"Haha I heard that, text me when you're around"
ham,No. To be nosy I guess. Idk am I over reacting if I'm freaked?
ham,Hi msg me:)i'm in office..
ham,What happened to our yo date?
ham,Man this bus is so so so slow. I think you're gonna get there before me
ham,"Yeah, probably but not sure. Ilol let u know, but personally I wuldnt bother, then again if ur goin to then I mite as well!!"
ham,"aight we can pick some up, you open before tonight?"
spam,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08718727870150ppm
ham,How much for an eighth?
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola
ham,Que pases un buen tiempo or something like that
ham,I tagged MY friends that you seemed to count as YOUR friends.
spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt
ham,"Whatever, juliana. Do whatever you want."
ham,Boo. How's things? I'm back at home and a little bored already :-(
ham,You bad girl. I can still remember them
ham,X course it 2yrs. Just so her messages on messenger lik you r sending me
ham,So how are you really. What are you up to. How's the masters. And so on.
ham,I was gonna ask you lol but i think its at 7
ham,"That's cool, I'll come by like  &lt;#&gt; ish"
ham,"Oh... I was thkin of goin yogasana at 10 den no nd to go at 3 den can rush to parco 4 nb... Okie lor, u call me when ready..."
ham,Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging 
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
ham,Looks like u wil b getting a headstart im leaving here bout 2.30ish but if u r desperate for my company I could head in earlier-we were goin to meet in rummer.
ham,IM LATE TELLMISS IM ON MY WAY
ham,Alright i have a new goal now
spam,Free Msg: Ringtone!From: http://tms. widelive.com/index. wml?id=1b6a5ecef91ff9*37819&first=true18:0430-JUL-05
ham,"sir, you will receive the account no another 1hr time. Sorry for the delay."
ham,Ok lor thanx... ï¿½ï¿½ in school?
ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng"
ham,So its to be poking man everyday that they teach you in canada abi! How are you. Just saying hi.
ham,Thought praps you meant another one. Goodo! I'll look tomorrow 
ham,Here got lots of hair dresser fr china.
ham,Oh yeah I forgot. U can only take 2 out shopping at once.
ham,S.i think he is waste for rr..
ham,Who's there say hi to our drugdealer
ham,Lol well don't do it without me. We could have a big sale together.
ham,I'm not sure if its still available though
ham,"Hey babe, my friend had to cancel, still up for a visit ?"
ham,Serious? What like proper tongued her
ham,Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?
ham,No. I.ll meet you in the library
ham,From 5 to 2 only my work timing.
ham,We'll you pay over like  &lt;#&gt; yrs so its not too difficult
ham,She.s find. I sent you an offline message to know how anjola's now.
ham,"Yes, i'm small kid.. And boost is the secret of my energy.."
ham,Oops I was in the shower when u called. Hey a parking garage collapsed at university hospital. See I'm not crazy. Stuff like that DOES happen.
ham,"Sorry man, my stash ran dry last night and I can't pick up more until sunday"
ham,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao..."
ham,My sister cleared two round in birla soft yesterday.
ham,Howz pain?hope u r fine..
ham,Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed
ham,Nothing. Can...
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV
ham,Yeah that's the impression I got
ham,"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!"
ham,I have a sore throat. It's scratches when I talk
ham,"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think."
ham,When did you get to the library
ham,You still around? Looking to pick up later
ham,"I wonder if your phone battery went dead ? I had to tell you, I love you babe"
ham,Am surfing online store. For offers do you want to buy any thing.
ham,Where's my boytoy? I miss you ... What happened?
ham,Dear :-/ why you mood off. I cant drive so i brother to drive
ham,Sir send to group mail check it.
ham,Wow v v impressed. Have funs shopping!
